Object ID,Street,Cross Street,Direction,Facing Street,Distance,CNN Segment ID,Last Edited Date,Geom
8769,FITZGERALD,INGALLS,NE,WB,0,20448000,,"(37.7209809285, -122.391319694)"
8770,FITZGERALD,INGALLS,SW,EB,0,20448000,,"(37.7209809285, -122.391319694)"
8771,FITZGERALD,JENNINGS,SW,EB,0,20454000,,"(37.7220396592, -122.393185163)"
8772,FITZGERALD,JENNINGS,NE,WB,0,20454000,,"(37.7220396592, -122.393185163)"
8773,FLOOD,DETROIT,SW,EB,0,22154000,,"(37.7299017998, -122.444304518)"
8774,FLOOD,FOERSTER,NE,WB,0,22229000,,"(37.7298872464, -122.448868166)"
8775,FLOOD,FOERSTER,SW,EB,0,22229000,,"(37.7298872464, -122.448868166)"
8776,FLOOD,GENNESSEE,NE,WB,0,22239000,,"(37.7298771231, -122.45114849)"
8777,FLOOD,HAZELWOOD,NE,WB, ,22247000,,"(37.7298388111, -122.454085264)"
8778,FLOOD,PHELAN,SW,EB,0,22243000,,"(37.7298713135, -122.452455152)"
8779,FLOOD,PHELAN,NE,WB,0,22243000,,"(37.7298713135, -122.452455152)"
8780,FLORA,THORNTON,NW,SB, ,20529000,,"(37.7309842878, -122.394543895)"
8781,FLORIDA,16TH ST,NW,SB,0,24049000,,"(37.7655525494, -122.411468476)"
8782,FLORIDA,16TH ST,SE,NB,0,24049000,,"(37.7655525494, -122.411468476)"
8783,FLORIDA,17TH ST,NW,SB,0,24047000,,"(37.7642565308, -122.411343393)"
8784,FLORIDA,17TH ST,SE,NB,0,24047000,,"(37.7642565308, -122.411343393)"
8785,FLORIDA,18TH ST,NW,SB,0,24031000,,"(37.7617058226, -122.411103412)"
8786,FLORIDA,19TH ST,NW,SB,0,24030000,,"(37.760432396, -122.410975184)"
8787,FLORIDA,19TH ST,SE,NB,0,24030000,,"(37.760432396, -122.410975184)"
8788,FLORIDA,20TH ST,SE,NB,0,24029000,,"(37.7591389029, -122.410771755)"
8789,FLORIDA,20TH ST,NW,SB,0,24029000,,"(37.7591389029, -122.410771755)"
8790,FLORIDA,21ST ST,SE,NB,0,23995000,,"(37.7575436663, -122.410539758)"
8791,FLORIDA,22ND ST,NW,SB,0,23992000,,"(37.7559467155, -122.410386565)"
8792,FLORIDA,22ND ST,SE,NB,0,23992000,,"(37.7559467155, -122.410386565)"
8793,FLORIDA,23RD ST,NW,SB,0,23961000,,"(37.7543455583, -122.410233136)"
8794,FLORIDA,25TH ST,NW,SB,0,23956000,,"(37.7511499907, -122.409927613)"
8795,FLORIDA,25TH ST,SE,NB,0,23956000,,"(37.7511499907, -122.409927613)"
8796,FLORIDA,26TH ST,NW,SB,0,21141000,,"(37.749549258, -122.40977497)"
8797,FLORIDA,26TH ST,SE,NB,0,21141000,,"(37.749549258, -122.40977497)"
